ticker,r-squared
MMM,0.9222888396818052
AOS,0.04562223016201703
ABT,0.005039211795421004
ABBV,0.7963261102148214
ABMD,0.46415940079079954
ACN,0.0005826432728370472
ATVI,0.14160235850433778
ADM,0.835623143894018
ADBE,0.6967009760157863
AAP,0.028203327390515683
AMD,0.01919393984085907
AES,0.5112938630152585
AFL,0.5944495352792244
A,0.6119082407359908
APD,0.4390261675382745
AKAM,0.09195194039461141
ALK,0.5284060585446615
ALB,0.025286829616807574
ARE,0.08555712417613975
ALGN,0.7293677632569897
ALLE,0.9140683505368612
LNT,0.19024394594026617
ALL,0.0031492124600753847
GOOGL,0.05567098175333445
GOOG,0.12228233404912625
MO,0.5194314019607741
AMZN,0.6230684887022789
AMCR,0.009450908617751583
AEE,0.6053575714546529
AAL,0.7325899160310275
AEP,0.5627575366982649
AXP,0.17502041749885197
AIG,0.7487160401585856
AMT,0.6585669005437798
AWK,0.28180387011676716
AMP,0.2927500763255571
ABC,0.8596014378523068
AME,0.13458052422189035
AMGN,0.04326960513699338
APH,0.018974572795125214
ADI,0.20498436104148393
ANSS,0.4241597298461457
ANTM,0.9185603890012967
AON,0.3967904707333413
APA,0.9107542765732265
AAPL,0.46598192900107105
AMAT,0.18422687678511812
APTV,0.5925871902235058
ANET,0.503053369297766
AJG,0.6568916991600856
AIZ,0.42552850690862226
T,0.8789319164672845
ATO,0.6072538099916234
ADSK,0.8152807664670227
ADP,0.19833138688870122
AZO,0.8250699437884879
AVB,0.20036485824969694
AVY,0.6496467385796657
BKR,0.783934551822027
BLL,0.16799586848112602
BAC,0.0011217944811698472
BBWI,0.5523571808178078
BAX,0.019728182270138526
BDX,0.44163156421493327
BRK.B,0.7496548895393702
BBY,0.5947114877215788
BIO,0.5260543026178742
TECH,0.5184621075318862
BIIB,0.9284457734758026
BLK,0.6325535857842661
BK,0.03157303492773717
BA,0.7634584710315088
BKNG,0.009129795847310402
BWA,0.6512735676140513
BXP,0.218281669282732
BSX,0.13956178359550386
BMY,0.2452486330782926
AVGO,0.7127834985006157
BR,0.4798745834931317
BRO,0.5343232812087082
BF.B,0.6133162229969791
CHRW,0.571096532561563
CDNS,0.015219359066422185
