ticker,avg vv-ratio,avg slope,avg r2,beta,alpha,beta r2
MMM,-0.00687484393886285,-0.0012286813079580162,0.4046882745886179,-0.28689742316346634,-0.10500813997378922,0.022916724247739047
AOS,-0.00010507478830271632,-0.0006820053474767689,0.43605355011255387,1.2063400266393853,-0.13786310613261082,0.3238101652156478
ABT,-0.01642970693978875,3.981260174331001e-06,0.5815445108679126,0.7831099550986333,0.0034660657761191455,0.3712627028602732
ABBV,-0.004588513553883167,0.0012120096601990252,0.3156585038497987,0.3146809561506959,0.09043648309113,0.009953308650595304
ABMD,0.0028418790431310095,-0.0009703700926963301,0.5570656533542517,0.5099857330795323,-0.019505018926515606,0.06410964667724896
ACN,-0.001281639167022304,-0.000717618220413658,0.7487051050541818,1.4789217525260028,-0.03497668829243644,0.5016682771593824
ATVI,-0.0005054957715633801,-8.388333204456983e-05,0.5477403287835283,-1.39140162174855,-0.028922488919356892,0.6397050420605208
ADM,0.0028908109306285275,0.0010398869759495328,0.40115187351389314,0.15186385510071782,0.07557265491423144,0.0017833126818835106
ADBE,-0.005380830750666244,-0.0016884623354777998,0.6116405153081064,0.4933748565407111,-0.08341324643178934,0.022350378773789994
AAP,0.0713132682706888,-0.00011598688043942828,0.47299174180443343,0.913153536090664,-0.03917445295331967,0.4102694471938693
AMD,0.004943524914037602,0.0018178647108267288,0.5163267383937921,3.73627721628245,-0.12089798477372271,0.6270268313442561
AES,-0.004249577766832628,-0.0009838845365161151,0.44020372568380894,-0.09619894766187573,-0.0712954880143424,0.0065568665532769145
AFL,-0.0013516434901994954,0.00020814710418478135,0.40073265199425967,0.459620867584492,-0.015261901906921456,0.10732371205803523
A,0.00022580504764209343,-0.000762411430612684,0.6300569238420072,0.36702123688894994,-0.03616183286171598,0.029841193757355486
APD,-0.008916142059498991,-0.001223763055003114,0.5595985758236182,0.332458032964624,-0.14009375452776537,0.04087974519026966
AKAM,-0.003235894402327564,-0.0010531041587018399,0.45626695349878316,0.007977486054081412,-0.05623414149949087,5.8720308838732854e-05
ALK,-0.00913084557649737,-0.001188677667792445,0.4543781131350739,-0.40395634997613317,-0.09277109680573227,0.08931874851188144
ALB,-0.013928066521100466,0.0008078590202487323,0.5587130613683302,2.0692330241317958,0.03679834028528184,0.3872009681122988
ARE,-0.0005892510995938207,-0.0007333219629966774,0.5609238806974026,0.8308439537164852,-0.10246585386330502,0.31658878877417695
ALGN,-0.12073239093503126,-0.0025590785819394387,0.44682508003588584,0.6245744315124299,-0.17574329797349067,0.018780524238929352
ALLE,-0.006167397811183405,-0.0013121064536839153,0.35581663627215065,-0.15290205649947336,-0.06506558846145538,0.009185408169061587
LNT,-0.0009122080937905078,-4.879237533820885e-05,0.41874399555853614,0.07638132980029536,-0.001590277470344438,0.009245590083685421
ALL,-0.006045299295301612,0.0003974424915548911,0.342392181197809,-0.6087662577828205,0.051435445295786,0.2576540572713008
GOOGL,-0.0001688768689318299,-0.0009299620989375972,0.5871855136486869,1.027079306204523,-0.04260225347734446,0.36358806748607925
GOOG,0.0002515337057823894,-0.0012045440822837127,0.5688015678998929,0.8671314166506978,-0.04772907706721054,0.2891652807015778
MO,0.0010271126268651086,0.00017994236840020113,0.4533460522240527,-0.2552760429100668,0.06049308393246723,0.03789215809512988
AMZN,0.05124626476753111,-0.0015311803239803146,0.5144980222447141,0.1654415824962781,-0.08015754854940611,0.005269859177931288
AMCR,0.0005038369296802231,0.0003742380642965438,0.4282874938460951,0.03291783901127731,-0.02215463247348731,0.0014919998450624785
AEE,-0.007939665195357017,-9.000687879998208e-05,0.43391786374087826,0.13521415185086536,0.00020547584079947182,0.0191138730122865
AAL,0.005482499170648213,-0.00128360265605292,0.44120702480509505,-0.49292802194017776,-0.1176549544093627,0.08478916784862288
AEP,0.004438030351905421,0.00024958879048908497,0.322376200711316,-0.11511148889862367,0.07296244825481236,0.00582427819330819
AXP,-0.0039127075697609915,8.57938142468696e-06,0.3400163670088274,0.09493235841959533,0.03701560107353164,0.005875208520579892
AIG,-0.0010159244567753932,0.00021631868320507738,0.405210967271671,0.8963040150805306,-0.0147706684580107,0.24657497810660822
AMT,-0.002952035170792327,-0.0006467412348691169,0.5723373466443271,-0.09686867193882039,-0.01045817215868922,0.004741016088833547
AWK,0.0021136023911158576,-0.0007126334030489983,0.5400216504385759,0.5211041465344198,-0.03470924441614748,0.1341534958598398
AMP,0.10587410109349492,0.00032132753138048876,0.3952152980787044,1.2582073482515466,-0.06067821036342462,0.5474931166728113
ABC,0.0039221304244915645,0.0014334665941363148,0.5022981383270505,0.19692834047813346,0.09213341610155538,0.006257740302869015
AME,-0.00895019536315119,-0.0009677133794980914,0.5221010338829989,0.4382183943446428,-0.08184392524353556,0.20376045461107994
AMGN,-0.003933502993734728,0.00030101114139467874,0.502951356630539,-0.6500145638858704,0.036388841282451984,0.29336059373800377
APH,0.0018347661991788295,-0.00044799819780750216,0.5253412774435924,1.1900474678062434,-0.0537707775828981,0.6522865998425914
ADI,-0.0062210339633326,-0.0005005872851209003,0.36417200084725304,0.3864480011243631,-0.059162559004746075,0.1461094231407701
ANSS,-0.04664026411535493,-0.0018533667995690856,0.6053703797014993,0.9551583515484018,-0.12369311867626655,0.13973782715367375
ANTM,0.00931741357154598,0.0016503623142234093,0.38323778362049676,0.4460828649741331,0.06916093557944991,0.03381384679862202
AON,0.011843411260743963,0.0009473590999814178,0.4217834554333041,1.1442621668353647,-0.011430073501041416,0.33972676829557563
