ticker,lobf residual
MMM,0.4046882745886179
AOS,0.43605355011255387
ABT,0.5815445108679123
ABBV,0.3156585038497987
ABMD,0.5570656533542517
ACN,0.7487051050541816
ATVI,0.5477403287835283
ADM,0.40115187351389314
ADBE,0.6116405153081064
AAP,0.47299174180443343
AMD,0.5163267383937922
AES,0.440203725683809
AFL,0.40073265199425967
A,0.6300569238420074
APD,0.5595985758236182
AKAM,0.4562669534987831
ALK,0.45437811313507387
ALB,0.5587130613683302
ARE,0.5609238806974026
ALGN,0.44682508003588584
ALLE,0.35581663627215077
LNT,0.41874399555853614
ALL,0.342392181197809
GOOGL,0.587185513648687
GOOG,0.5688015678998928
MO,0.45334605222405266
AMZN,0.5144980222447142
AMCR,0.4282874938460951
AEE,0.43391786374087815
AAL,0.441207024805095
AEP,0.322376200711316
AXP,0.34001636700882737
AIG,0.405210967271671
AMT,0.572337346644327
AWK,0.540021650438576
AMP,0.39521529807870437
ABC,0.5022981383270505
AME,0.522101033882999
AMGN,0.502951356630539
APH,0.5253412774435923
ADI,0.36417200084725304
ANSS,0.6053703797014992
ANTM,0.3832377836204969
AON,0.4217834554333042
APA,0.3273435415169586
AAPL,0.6419794044956221
AMAT,0.3724894298369239
APTV,0.4873930410337558
ANET,0.5533724079103202
AJG,0.4051937542200306
AIZ,0.4759827428698578
T,0.41738932036809473
ATO,0.32850815200958006
ADSK,0.5976644068859892
ADP,0.5587303648807895
AZO,0.6731871362147536
AVB,0.4677892370513619
AVY,0.5068035330469881
BKR,0.4617784131896653
BLL,0.42910727214529715
BAC,0.3452104394267521
BBWI,0.429464672005587
BAX,0.441758104714359
BDX,0.2881806060130398
BRK.B,0.4522741983142275
BBY,0.4222270321482233
BIO,0.5015015746174317
TECH,0.5800759058909805
BIIB,0.47028269884849594
BLK,0.5880977221763851
BK,0.42127321350980934
BA,0.3994161845276932
BKNG,0.4171024647450476
BWA,0.24949588275141446
BXP,0.3747311130385692
BSX,0.3416972705559045
BMY,0.46109186585461337
AVGO,0.48359973959765973
BR,0.5481410650345702
BRO,0.4948918431482848
BF.B,0.378172300182338
CHRW,0.35141465969716307
CDNS,0.6090262694016291
CZR,0.5467292838779858
CPB,0.3278126320776192
COF,0.3086366141291523
CAH,0.44724890274474227
KMX,0.45934450315829417
CCL,0.4547242775431526
CARR,0.530850388338123
CTLT,0.5673955429693469
CAT,0.3642132187493682
CBOE,0.3680396726422745
CBRE,0.5498317156072374
CDW,0.5897789692169237
CE,0.30157824362004926
CNC,0.37270562636831506
CNP,0.36498714727580284
CDAY,0.5457959720200926
CERN,0.5218844317422133
CF,0.4048042539495811
CRL,0.5666815731616488
SCHW,0.425780642663416
CHTR,0.5071319693124798
CVX,0.3649361676278588
CMG,0.5402576581555292
CB,0.4059192982368921
CHD,0.44271446192606234
CI,0.4142892782061248
CINF,0.30325670660017157
CTAS,0.5740031849005901
CSCO,0.5564867202562288
C,0.29207884802100864
CFG,0.19689624815923484
CTXS,0.3768530041233726
CLX,0.3081653937455869
CME,0.385733822316549
CMS,0.39442057172921446
KO,0.4428090538438038
CTSH,0.48828808688187453
CL,0.48067041810706085
CMCSA,0.3677705895190062
CMA,0.3609438719807257
CAG,0.4915947918249549
COP,0.30859285686521426
ED,0.4785552035636792
STZ,0.4928920966438668
CPRT,0.5654186181525703
GLW,0.30214684160869065
CTVA,0.19503235445620645
COST,0.6710618333663037
CTRA,0.17811051322991933
CCI,0.4938987009830488
CSX,0.3808138291900882
CMI,0.3111843770758853
CVS,0.4113254060825057
DHI,0.47876398197572195
DHR,0.6561594323403732
DRI,0.44007714824175337
DVA,0.4349308150771436
DE,0.3739207236999932
DAL,0.4482725496415254
XRAY,0.588265613870608
DVN,0.2906977840792434
DXCM,0.613683671764468
FANG,0.2258947550729441
DLR,0.588658805848458
DFS,0.31859997642189714
DISCA,0.18082741212953324
DISCK,0.1593666576872625
DISH,0.3380536570296157
DG,0.6898224374402091
DLTR,0.5416597870448907
D,0.31704621149166257
DPZ,0.5413566425278231
DOV,0.6101249918575125
DOW,0.2653263736916974
DTE,0.3315994214744705
DUK,0.47748599741688996
DRE,0.5790020222835733
DD,0.30448469121059685
DXC,0.39403597218158587
EMN,0.23784928972045802
ETN,0.49142125650015445
EBAY,0.5232232672354408
ECL,0.5163883016029877
EIX,0.5022262160826961
EW,0.6179832006283914
EA,0.3745837017579702
LLY,0.587487935137675
EMR,0.44128919811889916
ENPH,0.5187135623379057
ETR,0.46662828702514925
EOG,0.367937467188322
EFX,0.6189938892082479
EQIX,0.4154236680831775
EQR,0.393285728704532
ESS,0.3512304169344104
EL,0.5141926520247182
ETSY,0.510716224628612
RE,0.34349140288042374
EVRG,0.5185125343354842
ES,0.40494364568586494
EXC,0.4864682234357661
EXPE,0.40286342024980565
EXPD,0.45556279952832424
EXR,0.6466870182167515
XOM,0.40611374009635337
FFIV,0.4748390154503017
FB,0.517114098379822
FAST,0.6018756509828326
FRT,0.30548998753397394
FDX,0.5807601963903629
FIS,0.39841779098644203
FITB,0.2808423891034683
FRC,0.3612927141310245
FE,0.4042346893811645
FISV,0.3458846194137172
FLT,0.3080313482118706
FMC,0.4443437519249207
F,0.39884879674489293
FTNT,0.4905899540228548
FTV,0.36813836863466315
FBHS,0.4655698420307958
FOXA,0.37882949994399956
FOX,0.3645448157353473
BEN,0.36172632044224634
FCX,0.36275696604279467
GPS,0.3286812208201268
GRMN,0.6163280100983464
IT,0.5589955139762037
GNRC,0.5697700531665273
GD,0.31839170449798115
GE,0.23057278907961556
GIS,0.3652253510080937
