ticker,vv-ratio
MMM,-1.3843185755294218
AOS,-0.007233348426759087
ABT,-1.8151540227078533
ABBV,-0.529514464118118
ABMD,0.8607199057930892
ACN,-0.3661771264099424
ATVI,-0.0501350706236561
ADM,0.1885386888955927
ADBE,-2.9968536865835658
AAP,14.162101945876023
AMD,0.4031444567397663
AES,-0.10938413171827178
AFL,-0.07492159866175804
A,0.03260399082904186
APD,-2.6669964128373476
AKAM,-0.3818355394746525
ALK,-0.5884829974052557
ALB,-2.3446507181620833
ARE,-0.11403776530439193
ALGN,-73.13606045671325
ALLE,-0.8530127912647766
LNT,-0.05342802805331148
ALL,-0.7918133016986058
GOOGL,-0.41356425309584655
GOOG,0.6356357358603331
MO,0.04938357509967447
AMZN,8.6705348979452
AMCR,0.006121618695614688
AEE,-0.6815408603694464
AAL,0.12604265593320244
AEP,0.37780952385770866
AXP,-0.6409406270025494
AIG,-0.05191373974122258
AMT,-0.799824409174473
AWK,0.33919091172627264
AMP,26.95766362042505
ABC,0.4656745452998836
AME,-1.2188376045539282
AMGN,-0.9487215870588773
APH,0.1253328790659059
ADI,-1.0478709607837422
ANSS,-15.787729403047585
ANTM,3.573321278823602
AON,2.9615634198616316
APA,-0.3821078738987873
AAPL,-0.22577578575020127
AMAT,-2.378139010357134
APTV,12.60083896314895
ANET,-0.6473473322407169
AJG,0.3125242848460401
AIZ,-0.1576221762072898
T,-0.35783913651565696
ATO,-0.051718223188546276
ADSK,-1.056652377360143
ADP,-0.4735281496576128
AZO,46.29246526122536
AVB,0.2659488548336588
AVY,-0.014626049532246485
BKR,0.182670868605422
BLL,-0.11530956268510545
BAC,-0.4459044439909429
BBWI,1.5185135455662764
BAX,-0.09894526394267468
BDX,2.3920233552662373
BRK.B,3.4153269134345865
BBY,0.14410195742136858
BIO,-15.82132492558139
TECH,0.3225037749407656
BIIB,0.49285666721831745
BLK,1.7902068858815978
BK,0.23186140737211833
BA,-1.5187444825105545
BKNG,2.256891438054076
BWA,0.261621635095433
BXP,0.07411916501777883
BSX,12.436601478818046
BMY,1.41376255026857
AVGO,-0.10301972131267834
BR,-0.2845158764891911
BRO,0.007353413047007616
BF.B,1.2804020033127674
CHRW,-0.8036966101862832
CDNS,0.07792644790019695
CZR,-0.6188782470080046
CPB,-0.2652670710815317
COF,2.0060891025787146
CAH,-0.24462613718733353
KMX,-0.5227727836512093
CCL,0.19167082873689706
CARR,0.015398952987655985
CTLT,0.36185203641086816
CAT,0.22885118508610974
CBOE,0.3117157035032905
CBRE,-0.17810634825587637
CDW,0.07460348104232509
CE,1.7042825895778584
CNC,-0.27024346617860606
CNP,-0.24906949242784962
CDAY,0.4588900105084429
CERN,0.6767958172807513
CF,-0.05363417176810306
CRL,-0.2995620504021476
SCHW,0.5548398484158318
CHTR,-80.5987705021523
CVX,-1.2001354819309256
CMG,6.878473980638283
CB,-0.7539113984522986
CHD,-0.4777874748926405
CI,1.004741260978907
CINF,17.21304727199855
CTAS,-2.3214391712034397
CSCO,0.6351008362718321
C,0.02613488616650836
CFG,0.0933154760801028
CTXS,-7.5669935545894536
CLX,-0.889634558219057
CME,0.19888607808205153
CMS,0.8215910458714002
KO,-0.20330621029411758
CTSH,-0.21469446517526136
CL,0.07537923854208167
CMCSA,-0.2617574665880904
CMA,1.4460726996622104
CAG,-0.07417351550879372
COP,3.963245672917174
ED,0.04663056458699742
STZ,-0.14615121922674273
CPRT,0.22055290598497823
GLW,0.18237722676450246
CTVA,0.16908517827892147
COST,11.888380697704687
CTRA,0.2959053496169281
CCI,-0.14531810665792838
CSX,-0.8449034217950133
CMI,-2.4466671194382865
CVS,-0.05496429160364846
DHI,-0.10420308458800603
DHR,-0.21297637526843669
DRI,0.47148028977998413
DVA,0.1657963706627234
DE,1.294974238032723
DAL,0.1890358348139884
XRAY,0.18145479924863445
DVN,-0.35694814832152494
DXCM,0.08089731322484175
FANG,6.86603939073963
DLR,-0.33852665015476924
DFS,0.5239987481845897
DISCA,1.196457027539278
DISCK,1.80090740303998
DISH,0.3418487845892325
DG,0.9107938126117221
DLTR,0.46043390619753
D,-0.11426855795280669
DPZ,0.8226882237771771
DOV,-0.1875661851704205
DOW,0.07328025941074545
DTE,-0.8063388339420585
DUK,-0.16298390257820805
DRE,0.05339563681491273
DD,-1.1697618988219838
DXC,0.29127513145982337
EMN,-1.547729519984506
ETN,-7.432310183955929
EBAY,-0.22513321568259764
ECL,0.6625613247291279
EIX,0.06326080478148596
EW,0.1979444899940001
EA,-0.9737862835787076
LLY,-0.9184768313971741
EMR,-0.0075792683151727075
ENPH,-0.8273746224907431
ETR,0.2151282239197625
EOG,4.706917204750552
EFX,-5.104028117210496
EQIX,3.7854220618714716
EQR,0.07624395210485282
ESS,-6.056159708752743
EL,-1.2668048574596904
ETSY,-3.3059591100384274
RE,-5.306503836881412
EVRG,0.05631577388186004
ES,0.7429741984525934
EXC,-0.017006363988798158
EXPE,-0.7237113336348371
EXPD,0.004050940400743996
EXR,0.6877398885818407
XOM,-1.105752394228435
FFIV,2.024136431675064
FB,-1.7221750740322057
FAST,0.03942389045414444
FRT,-3.2568783822858554
FDX,-0.28910236674173045
FIS,-1.029982324913841
FITB,0.000593748284087741
FRC,-0.2785404235420613
FE,0.10129648962881956
FISV,-0.30390903404822345
FLT,-1.2283972823332612
FMC,0.1010872343655114
F,-0.12098456720129774
FTNT,2.7086846079845386
FTV,2.4449065787521467
FBHS,1.4053459969217585
FOXA,-0.31850156372045596
FOX,-0.05198815260247978
BEN,0.07573459318445774
